Community,NDVI,LST_Day,LST_Night,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
DUNNING,0.410163718148548,37.91657712292047,19.45962392301946,22.99813629214913,36.01154950970578,20.275107895445935,19.19659308096824,18.682499248432045,24.518784783103285,19.9537301214754
ARMOUR SQUARE,0.2436959104336183,36.54728728287573,19.572509624357437,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
MCKINLEY PARK,0.2608689869113204,37.85477166700978,19.48038329463487,22.782449841108477,35.17759071725315,20.21627538712302,19.13422346662304,18.77053984892172,24.09560589555834,20.03791038872768
ROGERS PARK,0.3348226426754672,31.5382759944369,18.150949172343584,21.841325125354548,30.93766081526472,20.05131520264275,18.35541118685092,18.303489300777056,23.188800788335804,19.609278605083883
WEST GARFIELD PARK,0.3338301489158131,38.391245007692746,20.480267572474965,22.8976531982422,35.7965637207031,20.2067810058594,19.15087890625,18.6979494094849,24.27956199646,19.9934310913086
NEW CITY,0.3091989381199649,38.251421894815,19.734904718261777,22.67793406384752,34.79139417621156,20.153039850043086,19.090060523089043,18.768368974178436,23.942803946216067,20.031258993885857
BRIGHTON PARK,0.2359451142293246,38.64876492155357,18.73164147775268,23.196663674569784,36.15781001510493,20.474682644839387,19.43807378043063,18.89250130983318,24.63570259116237,20.137394134059544
BEVERLY,0.5276445399881322,37.30432203186998,20.04167253603902,23.0547440684338,35.84904039230832,20.436455065849096,19.49293208172732,19.00235701852396,24.542867987275383,20.134988521637865
OAKLAND,0.4003924294299383,31.439513905385493,19.267368486530906,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
NEAR SOUTH SIDE,0.2612273064067403,32.47996197901051,19.293692499333417,22.1613550227781,29.87513786580354,19.830577206887103,18.43943170589108,18.35590474688195,23.226353513107988,19.756143153708496
DOUGLAS,0.368834509886673,33.75396125400274,19.23914142838868,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
